DATA_EMISSAO;DATA_EMBARQUE;HORA_EMBARQUE;CIA_BILHETE;TRECHO;ORIGEM;DESTINO;CUPOM;BILHETE;TIPO;CABINE;CIA_VOO;VALOR_BRL;EMPRESA;CNPJ;IATA_AGENCIA;BASE_VENDA;QTD_PAX;NUM_VOO;CONSOLIDADA
26/06/2019;29/07/2019;23:59;JJ;CGH/SDU/CGH;SDU;CGH;1;0;N;Z;ZZ;0;1;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;JJ;CGH/SDU/CGH;CGH;SDU;1;1;N;Z;ZZ;986,3;31;;9999999999;SAO;1;;
26/06/2019;05/07/2019;23:59;JJ;CGH/SDU/CGH;SDU;CGH;2;1;N;Z;ZZ;986,3;31;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;BEL/BSB/SDU;BEL;BSB;1;10;N;Z;ZZ;1.869,15;1;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;BEL/BSB/SDU;BSB;SDU;2;10;N;Z;ZZ;1.869,15;1;;9999999999;SAO;1;;
26/06/2019;30/06/2019;23:59;JJ;CGR/CGH;CGR;CGH;1;100;N;Z;ZZ;1.289,90;15;;9999999999;SAO;1;;
26/06/2019;28/06/2019;23:59;G3;CGH/CGR;CGH;CGR;1;101;N;Z;ZZ;1.287,91;15;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;AD;REC/FOR;REC;FOR;1;102;N;Z;ZZ;809,65;256;;9999999999;SAO;1;;
26/06/2019;28/06/2019;23:59;G3;FOR/REC;FOR;REC;1;103;N;Z;ZZ;281,9;256;;9999999999;SAO;1;;
26/06/2019;30/06/2019;23:59;JJ;CGR/CGH;CGR;CGH;1;104;N;Z;ZZ;1.289,90;15;;9999999999;SAO;1;;
26/06/2019;28/06/2019;23:59;G3;CGH/CGR;CGH;CGR;1;105;N;Z;ZZ;1.287,91;15;;9999999999;SAO;1;;
26/06/2019;01/07/2019;23:59;G3;CGH/BSB/CGH;CGH;BSB;1;106;N;Z;ZZ;2.592,80;25;;9999999999;SAO;1;;
26/06/2019;05/07/2019;23:59;G3;CGH/BSB/CGH;BSB;CGH;2;106;N;Z;ZZ;2.592,80;25;;9999999999;SAO;1;;
26/06/2019;07/07/2019;23:59;AD;CWB/CGH;CWB;CGH;1;107;N;Z;ZZ;262,2;1;;9999999999;SAO;1;;
26/06/2019;05/07/2019;23:59;G3;CGH/CWB;CGH;CWB;1;108;N;Z;ZZ;330,56;1;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;AD;BEL/SLZ;BEL;SLZ;1;109;N;Z;ZZ;1.097,60;1;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;BEL/BSB/SDU;BEL;BSB;1;11;N;Z;ZZ;1.538,50;1;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;BEL/BSB/SDU;BSB;SDU;2;11;N;Z;ZZ;1.538,50;1;;9999999999;SAO;1;;
26/06/2019;28/06/2019;23:59;JJ;CGH/CNF/CGH;CGH;CNF;1;110;N;Z;ZZ;1.271,90;50;;9999999999;SAO;1;;
26/06/2019;28/06/2019;23:59;JJ;CGH/CNF/CGH;CNF;CGH;2;110;N;Z;ZZ;1.271,90;50;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;FLN/CGH;FLN;CGH;1;111;N;Z;ZZ;1.083,06;12;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;JJ;CNF/GRU;CNF;GRU;1;112;N;Z;ZZ;368,22;57;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;AD;CGH/CNF;CGH;CNF;1;113;N;Z;ZZ;800,9;57;;9999999999;SAO;1;;
26/06/2019;26/06/2019;23:59;AD;CGB/VCP/CNF;CGB;VCP;1;114;N;Z;ZZ;855,12;248;;9999999999;SAO;1;;
26/06/2019;26/06/2019;23:59;AD;CGB/VCP/CNF;VCP;CNF;2;114;N;Z;ZZ;855,12;248;;9999999999;SAO;1;;
26/06/2019;13/07/2019;23:59;DL;DEN/LGA;DEN;LGA;1;115;I;Z;ZZ;602,16;25;;9999999999;SAO;1;;
26/06/2019;13/07/2019;23:59;DL;DEN/LGA;DEN;LGA;1;116;I;Z;ZZ;602,16;25;;9999999999;SAO;1;;
26/06/2019;13/07/2019;23:59;DL;DEN/LGA;DEN;LGA;1;117;I;Z;ZZ;602,16;25;;9999999999;SAO;1;;
26/06/2019;13/07/2019;23:59;DL;DEN/LGA;DEN;LGA;1;118;I;Z;ZZ;602,16;25;;9999999999;SAO;1;;
26/06/2019;30/06/2019;23:59;AD;RAO/VCP/CAC/VCP/RAO;RAO;VCP;1;119;N;Z;ZZ;2.495,80;1;;9999999999;SAO;1;;
26/06/2019;30/06/2019;23:59;AD;RAO/VCP/CAC/VCP/RAO;VCP;CAC;2;119;N;Z;ZZ;2.495,80;1;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;AD;RAO/VCP/CAC/VCP/RAO;CAC;VCP;3;119;N;Z;ZZ;2.495,80;1;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;AD;RAO/VCP/CAC/VCP/RAO;VCP;RAO;4;119;N;Z;ZZ;2.495,80;1;;9999999999;SAO;1;;
26/06/2019;01/07/2019;23:59;AD;RAO/CNF/CGB;RAO;CNF;1;12;N;Z;ZZ;354,51;1;;9999999999;SAO;1;;
26/06/2019;01/07/2019;23:59;AD;RAO/CNF/CGB;CNF;CGB;2;12;N;Z;ZZ;354,51;1;;9999999999;SAO;1;;
26/06/2019;28/06/2019;23:59;AA;DFW/FLL;DFW;FLL;1;120;I;Z;ZZ;1.777,98;48;;9999999999;SAO;1;;
26/06/2019;04/07/2019;23:59;JJ;JPA/GRU;JPA;GRU;1;121;N;Z;ZZ;999;1;;9999999999;SAO;1;;
26/06/2019;30/06/2019;23:59;G3;GRU/JPA;GRU;JPA;1;122;N;Z;ZZ;1.176,40;1;;9999999999;SAO;1;;
26/06/2019;12/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;CNF;UDI;1;123;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;12/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;UDI;CNF;2;123;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;12/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;CNF;MOC;3;123;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;13/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;MOC;CNF;4;123;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;13/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;CNF;IPN;5;123;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;14/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;IPN;CNF;6;123;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;12/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;CNF;UDI;1;124;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;12/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;UDI;CNF;2;124;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;12/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;CNF;MOC;3;124;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;13/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;MOC;CNF;4;124;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;13/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;CNF;IPN;5;124;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;14/08/2019;23:59;AD;CNF/UDI/CNF/MOC/CNF/IPN/CNF;IPN;CNF;6;124;N;Z;ZZ;1.269,60;252;;9999999999;SAO;1;;
26/06/2019;10/07/2019;23:59;JJ;SDU/CGH/SDU;SDU;CGH;1;125;N;Z;ZZ;0;1;;9999999999;SAO;1;;
